,Names,Team,Runs,AVG,SR,Century,Fifty,Fours,Six
0,Virat Kohli,RCB,741,61.75,154.69,1,5,62,38
1,Ruturaj Gaikwad,CSK,583,53.00,141.16,1,4,58,18
2,Riyan Parag,RR,573,52.09,149.21,0,4,40,33
3,Travis Head,SRH,567,40.50,191.55,1,4,64,32
4,Sanju Samson,RR,531,48.27,153.46,0,5,48,24
5,Sai Sudharsan,GT,527,47.91,141.28,1,2,48,16
6,K L Rahul,LSG,520,37.14,136.12,0,4,45,19
7,Nicholas Pooran,LSG,499,62.38,178.21,0,3,35,36
8,Sunil Narine,KKR,488,34.86,180.74,1,3,50,33
9,Abhishek Sharma,SRH,484,32.27,204.21,0,3,36,42
10,Heinrich Klaasen,SRH,479,39.92,171.07,0,4,19,38
11,Rishabh Pant,DC,446,40.55,155.40,0,3,36,25
12,Faf Du Plessis,RCB,438,29.20,161.62,0,4,47,21
13,Phil Salt,KKR,435,39.55,182.00,0,4,50,24
14,Yashasvi Jaiswal,RR,435,31.07,155.91,1,1,54,16
15,Shubman Gill,GT,426,38.73,147.40,1,2,37,15
16,Rohit Sharma,MI,417,32.08,150.00,1,1,45,23
17,Tilak Varma,MI,416,41.60,149.64,0,3,35,19
18,Shivam Dube,CSK,396,36.00,162.29,0,3,28,28
19,Rajat Patidar,RCB,395,30.38,177.13,0,5,21,33
20,Marcus Stoinis,LSG,388,32.33,147.52,1,2,39,16
21,Tristan Stubbs,DC,378,54.00,190.90,0,3,24,26
22,Venkatesh Iyer,KKR,370,46.25,158.79,0,4,35,19
23,Jos Buttler,RR,359,39.89,140.78,2,0,36,12
24,Shashank Singh,PBKS,354,44.25,164.65,0,2,28,21
25,Shreyas Iyer,KKR,351,39.00,146.86,0,2,34,14
26,Suryakumar Yadav,MI,345,34.50,167.47,1,3,36,18
27,Prabhsimran Singh,PBKS,334,23.86,156.80,0,2,34,20
28,Jake Fraser - McGurk,DC,330,36.67,234.04,0,4,32,28
29,Abishek Porel,DC,327,32.70,159.51,0,2,36,13
30,Dinesh Karthik,RCB,326,36.22,187.35,0,2,27,22
31,Ishan Kishan,MI,320,22.86,148.83,0,1,35,16
32,Daryl Mitchell,CSK,318,28.91,142.60,0,2,27,10
33,Nitish Kumar Reddy,SRH,303,33.67,142.92,0,2,15,21
34,Jonny Bairstow,PBKS,298,29.80,152.82,1,0,33,14
35,Sam Curran,PBKS,270,27.00,123.28,0,2,24,6
36,Ravindra Jadeja,CSK,267,44.50,142.78,0,1,22,8
37,Cameron Green,RCB,255,31.88,143.25,0,0,22,10
38,Quinton De Kock,LSG,250,22.73,134.40,0,3,29,9
39,Ajinkya Rahane,CSK,242,20.17,123.46,0,0,23,7
40,Tim David,MI,241,30.13,158.55,0,0,14,15
41,Ayush Badoni,LSG,235,29.38,137.42,0,2,22,5
42,Axar Patel,DC,235,29.38,131.28,0,2,19,10
43,Will Jacks,RCB,230,32.86,175.57,1,1,16,18
44,Andre Russell,KKR,222,31.71,185.00,0,1,20,16
45,Rachin Ravindra,CSK,222,22.20,160.86,0,1,22,12
46,Aiden Markram,SRH,220,24.44,124.29,0,1,18,4
47,Hardik Pandya,MI,216,18.00,143.04,0,0,17,11
48,Shahbaz Ahmed,SRH,215,23.89,129.51,0,1,7,13
49,Rilee Rossouw,PBKS,211,26.38,181.89,0,1,25,11
50,David Miller,GT,210,35.00,151.07,0,1,20,8
51,Prithvi Shaw,DC,198,24.75,163.63,0,1,30,5
52,Dhruv Jurel,RR,195,24.38,138.29,0,2,18,7
53,Ashutosh Sharma,PBKS,189,27.00,167.25,0,1,10,15
54,Rahul Tewatia,GT,188,26.86,145.73,0,0,24,5
55,Jitesh Sharma,PBKS,187,17.00,131.69,0,0,9,12
56,Shai Hope,DC,183,22.88,150.00,0,0,12,12
57,Abdul Samad,SRH,182,18.20,168.51,0,0,15,11
58,Rinku Singh,KKR,168,18.67,148.67,0,0,13,8
59,David Warner,DC,168,21.00,134.40,0,1,17,10
60,Rahul Tripathi,SRH,165,27.50,143.47,0,1,18,6
61,Angkrish Raghuvanshi,KKR,163,23.29,155.23,0,1,16,8
62,MS Dhoni,CSK,161,53.67,220.54,0,0,14,13
63,Shikhar Dhawan,PBKS,152,30.40,125.61,0,1,18,4
64,Deepak Hooda,LSG,145,18.13,138.09,0,1,16,3
65,Naman Dhir,MI,140,23.33,177.21,0,1,12,10
66,Pat Cummins,SRH,136,22.67,143.15,0,0,9,8
67,Wriddhiman Saha,GT,136,15.11,118.26,0,0,18,3
68,Krunal Pandya,LSG,133,33.25,126.66,0,0,8,5
69,Moeen Ali,CSK,128,25.60,130.61,0,1,7,8
70,Shahrukh Khan,GT,127,18.14,169.33,0,1,9,9
71,Ramandeep Singh,KKR,125,31.25,201.61,0,0,5,12
72,Mahipal Lomror,RCB,125,15.63,183.82,0,0,9,9
73,Shimron Hetmyer,RR,113,22.60,163.76,0,0,9,7
74,Liam Livingstone,PBKS,111,22.20,142.30,0,0,8,7
75,Nehal Wadhera,MI,109,18.17,129.76,0,0,9,6
76,Rovman Powell,RR,103,17.17,151.47,0,0,10,6
77,Rashid Khan,GT,102,20.40,143.66,0,0,11,3
78,Anuj Rawat,RCB,98,24.50,127.27,0,0,10,3
79,Ravichandran Ashwin,RR,86,14.33,116.21,0,0,5,4
80,Arshad Khan,LSG,83,41.50,153.70,0,1,6,5
81,Vijay Shankar,GT,83,16.60,115.27,0,0,7,2
82,Harpreet Brar,PBKS,75,37.50,138.88,0,0,8,2
83,Dewald Brevis,MI,69,23.00,116.94,0,0,3,5
84,Mayank Agarwal,SRH,64,16.00,112.28,0,0,8,1
85,Rahmanullah Gurbaz,KKR,62,31.00,134.78,0,0,7,4
86,Mitchell Marsh,DC,61,15.25,160.52,0,0,9,3
87,Atharva Taide,PBKS,61,30.50,156.41,0,0,7,2
88,Romario Shepherd,MI,57,28.50,271.42,0,0,5,5
89,Glenn Maxwell,RCB,52,5.78,120.93,0,0,6,2
90,Sameer Rizwi,CSK,51,12.75,118.60,0,0,4,2
91,Tom Kohler- Cadmore,RR,48,16.00,88.88,0,0,7,1
92,Kuldeep Yadav,DC,47,15.67,114.63,0,0,6,1
93,Sikandar Raza,PBKS,43,21.50,113.15,0,0,2,2
94,Manish Pandey,KKR,42,42.00,135.48,0,0,2,2
95,Azmatullah Omarzai,GT,42,10.50,127.27,0,0,2,2
96,Nitish Rana,KKR,42,21.00,123.52,0,0,5,1
97,Devdutt Padikkal,LSG,38,5.43,71.69,0,0,3,0
98,Swapnil Singh,RCB,37,18.50,176.19,0,0,3,3
99,Mohammad Nabi,MI,35,8.75,112.90,0,0,2,2
100,Shubham Dubey,RR,33,16.50,173.68,0,0,3,2
101,Karn Sharma,RCB,31,10.33,206.66,0,0,2,3
102,Rasikh Salam,DC,28,7.00,93.33,0,0,4,0
103,Kane Williamson,GT,27,13.50,100.00,0,0,4,0
104,Harpreet Bhatia,PBKS,27,13.50,79.41,0,0,2,0
105,Suyash S Prabhudessai,RCB,24,24.00,133.33,0,0,3,0
106,Jaydev Unadkat,SRH,24,8.00,92.30,0,0,2,1
107,Tanush Kotian,RR,24,24.00,77.41,0,0,3,0
108,Bhuvneshwar Kumar,SRH,23,7.67,79.31,0,0,3,0
109,Yudhvir Singh,LSG,21,10.50,150.00,0,0,1,2
110,Rahul Chahar,PBKS,21,21.00,140.00,0,0,3,1
111,Shardul Thakur,CSK,21,21.00,123.52,0,0,2,1
112,Ashton Turner,LSG,21,10.50,116.66,0,0,0,2
113,Kagiso Rabada,PBKS,20,20.00,142.85,0,0,0,2
114,Gulbadin Naib,DC,19,19.00,126.66,0,0,1,1
115,Marco Jansen,SRH,18,18.00,138.46,0,0,1,1
116,Saurav Chauhan,RCB,18,6.00,120.00,0,0,1,1
117,Sumit Kumar,DC,18,9.00,75.00,0,0,2,1
118,Piyush Chawla,MI,15,3.75,100.00,0,0,1,1
119,Sanvir Singh,SRH,14,14.00,116.66,0,0,1,0
120,Trent Boult,RR,14,7.00,87.50,0,0,2,0
121,Mitchell Santner,CSK,14,4.67,82.35,0,0,1,0
122,Gerald Coetzee,MI,14,3.50,63.63,0,0,0,1
123,Sai Kishore,GT,13,13.00,216.66,0,0,0,2
124,Harshal Patel,PBKS,13,4.33,68.42,0,0,1,1
125,Mohammed Siraj,RCB,12,6.00,150.00,0,0,0,2
126,Darshan Nalkande,GT,12,12.00,109.09,0,0,0,1
127,Jasprit Bumrah,MI,12,-,100.00,0,0,1,0
128,Umesh Yadav,GT,12,12.00,80.00,0,0,0,1
